"word","freq"
"nonelectric",3
"noon",3
"nut",3
"nylon",3
"optically",3
"paired",3
"paraffin",3
"pen",3
"peugeot",3
"phonedetonated",3
"pillar",3
"pin",3
"pkk",3
"pkt",3
"plates",3
"pocket",3
"portion",3
"possibility",3
"preceded",3
"pressureactivated",3
"prima",3
"printer",3
"private",3
"purse",3
"pyrotechnic",3
"rebel",3
"recorders",3
"records",3
"release",3
"remnants",3
"remotelycontrolled",3
"repelled",3
"replica",3
"ricin",3
"riddled",3
"riffles",3
"river",3
"roadsideplanted",3
"robbed",3
"roughly",3
"rubberized",3
"rucksack",3
"running",3
"russianbuilt",3
"sailors",3
"saws",3
"scale",3
"scare",3
"schools",3
"scissors",3
"scraps",3
"seating",3
"seconds",3
"setoff",3
"seventeen",3
"sewage",3
"shared",3
"shockproof",3
"shoes",3
"shops",3
"shovels",3
"showed",3
